STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960623,300,239
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960624,322,217
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960625,311,211
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960626,289,178
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960627,294,183
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960628,317,200
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960629,272,206
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960630,311,183
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960701,317,233
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960702,328,233
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960703,283,194
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960704,256,161
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960705,294,178
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960706,328,183
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960707,333,222
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960708,339,228
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960709,344,222
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960710,283,200
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960711,283,183
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960712,244,206
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960713,322,222
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960714,322,239
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960715,306,244
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960716,322,222
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960717,333,222
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960718,283,233
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960719,294,228
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960720,278,211
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960721,294,183
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960722,233,206
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960723,283,194
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960724,306,194
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960725,300,217
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960726,300,206
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960727,283,189
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960728,294,194
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960729,256,211
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960730,283,206
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960731,278,228
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960801,294,217
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960802,294,194
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960803,289,217
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960804,294,206
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960805,300,211
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960806,300,217
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960807,306,206
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960808,306,211
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960809,233,217
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960810,283,183
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960811,272,178
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960812,228,178
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960813,239,183
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960814,300,172
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960815,294,200
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960816,300,194
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960817,311,189
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960818,306,211
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960819,311,189
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960820,289,200
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960821,294,200
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960822,328,217
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960823,339,228
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960824,306,217
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960825,306,189
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960826,300,200
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960827,306,206
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960828,300,194
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960829,306,200
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960830,300,200
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960831,294,183
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960901,311,178
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960902,317,183
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960903,289,206
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960904,267,211
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960905,294,228
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960906,272,233
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960907,311,228
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960908,322,211
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960909,306,206
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960910,317,211
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960911,244,211
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960912,250,211
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960913,256,161
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960914,233,133
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960915,244,133
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960916,189,167
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960917,217,167
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960918,228,156
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960919,244,150
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960920,261,133
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960921,256,133
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960922,256,178
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960923,228,150
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960924,211,150
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960925,228,139
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960926,206,117
